mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.024598979949951173,0.002657851449697945,0.005487775802612305,0.002312870323822636,1e-05,"(64,)",0.001,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (64,), 'clf__learning_rate_init': 0.001}",0.950843727072634,0.9680952380952381,0.8418568056648308,0.9337944664031621,0.983479349186483,0.9356139172844695,0.049742917605884195,7
0.026008176803588866,0.0037376826106150485,0.018613386154174804,0.012983989023682974,1e-05,"(64,)",0.0005,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (64,), 'clf__learning_rate_init': 0.0005}",0.7631313131313131,0.6656079854809438,0.6961451247165533,0.7796052631578947,0.6180555555555556,0.704509048408452,0.06022203207101416,16
0.06994361877441406,0.010499775511470685,0.007383871078491211,0.005440968151814923,1e-05,"(128,)",0.001,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.001}",1.0,0.7341269841269842,0.9180728784543898,0.9841719820458303,0.9332659251769464,0.91392755396083,0.09493381575937997,10
0.039612627029418944,0.013786740568629108,0.005093908309936524,0.0019559647418537925,1e-05,"(128,)",0.0005,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.0005}",1.0,0.7061403508771931,0.7715709415158668,0.9026162790697674,0.7183499288762447,0.8197355000678144,0.11390103610569649,13
0.03356070518493652,0.01450974158060232,0.0053599834442138675,0.0018230620836990536,1e-05,"(64, 32)",0.001,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (64, 32), 'clf__learning_rate_init': 0.001}",0.9680952380952381,0.9371482176360225,0.9337944664031621,0.9839135654261705,0.983479349186483,0.9612861673494153,0.02186016534925212,1
0.0333254337310791,0.00847022941816018,0.004633617401123047,0.0010353698243399686,1e-05,"(64, 32)",0.0005,"{'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': (64, 32), 'clf__learning_rate_init': 0.0005}",0.9525159461374911,0.830379746835443,0.9675387596899225,0.9680952380952381,0.983479349186483,0.9404018079889156,0.05587597168344531,6
0.04161114692687988,0.011526042485553193,0.005990219116210937,0.0025704081006386052,0.0001,"(64,)",0.001,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__learning_rate_init': 0.001}",0.950843727072634,0.9680952380952381,0.8418568056648308,0.9337944664031621,0.983479349186483,0.9356139172844695,0.049742917605884195,7
0.027849483489990234,0.002926609155380751,0.007874870300292968,0.002728680664746009,0.0001,"(64,)",0.0005,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__learning_rate_init': 0.0005}",0.7631313131313131,0.6656079854809438,0.6961451247165533,0.7796052631578947,0.6180555555555556,0.704509048408452,0.06022203207101416,16
0.03716096878051758,0.009443341817029811,0.00757756233215332,0.005171296020760223,0.0001,"(128,)",0.001,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.001}",1.0,0.7341269841269842,0.900691699604743,0.9841719820458303,0.9332659251769464,0.9104513181909007,0.0950365507822306,11
0.03650164604187012,0.013620965461563975,0.004673194885253906,0.0008296337377874123,0.0001,"(128,)",0.0005,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__learning_rate_init': 0.0005}",1.0,0.7061403508771931,0.7715709415158668,0.9026162790697674,0.7183499288762447,0.8197355000678144,0.11390103610569649,13
0.029498815536499023,0.006191367613169197,0.006703948974609375,0.0033787034085032475,0.0001,"(64, 32)",0.001,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64, 32), 'clf__learning_rate_init': 0.001}",0.9680952380952381,0.9371482176360225,0.9337944664031621,0.9839135654261705,0.983479349186483,0.9612861673494153,0.02186016534925212,1
